MENU,RESTO YANG MENYEDIAKAN MENU
Pasta,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Fish and Chips,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Caesar Salad,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
French Fries,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Chicken Wings,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Grilled Cheese Sandwich,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Tacos,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Lasagna,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Ribs,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Nachos,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Mac and Cheese,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Quesadilla,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Hot Dog,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Meatloaf,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Buffalo Wings,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Chicken Parmesan,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Clam Chowder,"Picnic! Pata X Sausage Tamansiswa, Jl. Tamansiswa No.49 Yogya"
Seafood,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Bakmie,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Dimsum,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Bebek Peking,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Cow Mein,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Wonton Soup,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
nasi hainan,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Spring Rolls,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Lo Mein,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Congee,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Bakpao,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Lumpia,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Capcay,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Kwetiau,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Fuyunghai,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Sapo Tahu,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
 Bakmi,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Ayam Kungpao,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Angsio Tahu,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Ayam Koloke,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Siomay,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
I Fu Mie,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
nasi goreng seafood chinese,"Rumah Makan Tio Asli Ciu Chinese Food & Sea Food, Jetis"
Seafood,"Manalagi KQ 5, Ngampilan"
Dimsum,"Manalagi KQ 5, Ngampilan"
Bebek Peking,"Manalagi KQ 5, Ngampilan"
Cow Mein,"Manalagi KQ 5, Ngampilan"
Wonton Soup,"Manalagi KQ 5, Ngampilan"
nasi hainan,"Manalagi KQ 5, Ngampilan"
Spring Rolls,"Manalagi KQ 5, Ngampilan"
Lo Mein,"Manalagi KQ 5, Ngampilan"
Congee,"Manalagi KQ 5, Ngampilan"
Bakpao,"Manalagi KQ 5, Ngampilan"
Lumpia,"Manalagi KQ 5, Ngampilan"
Capcay,"Manalagi KQ 5, Ngampilan"
Kwetiau,"Manalagi KQ 5, Ngampilan"
Fuyunghai,"Manalagi KQ 5, Ngampilan"
Sapo Tahu,"Manalagi KQ 5, Ngampilan"
 Bakmi,"Manalagi KQ 5, Ngampilan"
Ayam Kungpao,"Manalagi KQ 5, Ngampilan"
Angsio Tahu,"Manalagi KQ 5, Ngampilan"
Ayam Koloke,"Manalagi KQ 5, Ngampilan"
Siomay,"Manalagi KQ 5, Ngampilan"
I Fu Mie,"Manalagi KQ 5, Ngampilan"
nasi goreng seafood chinese,"Manalagi KQ 5, Ngampilan"
Snacks,"Lawson Shop, Tegalrejo"
Beverages,"Lawson Shop, Tegalrejo"
Sushi,"Lawson Shop, Tegalrejo"
Sashimi,"Lawson Shop, Tegalrejo"
Tempura,"Lawson Shop, Tegalrejo"
Ramen,"Lawson Shop, Tegalrejo"
Udon,"Lawson Shop, Tegalrejo"
Soba,"Lawson Shop, Tegalrejo"
Okonomiyaki,"Lawson Shop, Tegalrejo"
Takoyaki,"Lawson Shop, Tegalrejo"
Tonkatsu,"Lawson Shop, Tegalrejo"
Yakitori,"Lawson Shop, Tegalrejo"
Gyoza,"Lawson Shop, Tegalrejo"
Onigiri,"Lawson Shop, Tegalrejo"
Miso Soup,"Lawson Shop, Tegalrejo"
Nabe,"Lawson Shop, Tegalrejo"
Shabu-Shabu,"Lawson Shop, Tegalrejo"
Sukiyaki,"Lawson Shop, Tegalrejo"
Teriyaki,"Lawson Shop, Tegalrejo"
Unagi,"Lawson Shop, Tegalrejo"
Tamagoyaki,"Lawson Shop, Tegalrejo"
Mochi,"Lawson Shop, Tegalrejo"
Coffee,"Lawson Shop, Tegalrejo"
Korean,"Lawson Shop, Tegalrejo"
Snacks,"Burgerax, Glagahsari"
Burger,"Burgerax, Glagahsari"
Steak,"Burgerax, Glagahsari"
Pizza,"Burgerax, Glagahsari"
Pasta,"Burgerax, Glagahsari"
Fish and Chips,"Burgerax, Glagahsari"
Caesar Salad,"Burgerax, Glagahsari"
French Fries,"Burgerax, Glagahsari"
Chicken Wings,"Burgerax, Glagahsari"
Grilled Cheese Sandwich,"Burgerax, Glagahsari"
Tacos,"Burgerax, Glagahsari"
Lasagna,"Burgerax, Glagahsari"
Ribs,"Burgerax, Glagahsari"
Nachos,"Burgerax, Glagahsari"
Mac and Cheese,"Burgerax, Glagahsari"
Quesadilla,"Burgerax, Glagahsari"
Hot Dog,"Burgerax, Glagahsari"
Meatloaf,"Burgerax, Glagahsari"
Buffalo Wings,"Burgerax, Glagahsari"
Chicken Parmesan,"Burgerax, Glagahsari"
Clam Chowder,"Burgerax, Glagahsari"
Burger,"Ini Baru Rajanya Steak, Banguntapan"
Steak,"Ini Baru Rajanya Steak, Banguntapan"
Pizza,"Ini Baru Rajanya Steak, Banguntapan"
Pasta,"Ini Baru Rajanya Steak, Banguntapan"
Fish and Chips,"Ini Baru Rajanya Steak, Banguntapan"
Caesar Salad,"Ini Baru Rajanya Steak, Banguntapan"
French Fries,"Ini Baru Rajanya Steak, Banguntapan"
Chicken Wings,"Ini Baru Rajanya Steak, Banguntapan"
Grilled Cheese Sandwich,"Ini Baru Rajanya Steak, Banguntapan"
Tacos,"Ini Baru Rajanya Steak, Banguntapan"
Lasagna,"Ini Baru Rajanya Steak, Banguntapan"
Ribs,"Ini Baru Rajanya Steak, Banguntapan"
Nachos,"Ini Baru Rajanya Steak, Banguntapan"
Mac and Cheese,"Ini Baru Rajanya Steak, Banguntapan"
Quesadilla,"Ini Baru Rajanya Steak, Banguntapan"
Hot Dog,"Ini Baru Rajanya Steak, Banguntapan"
Meatloaf,"Ini Baru Rajanya Steak, Banguntapan"
Buffalo Wings,"Ini Baru Rajanya Steak, Banguntapan"
Chicken Parmesan,"Ini Baru Rajanya Steak, Banguntapan"
Clam Chowder,"Ini Baru Rajanya Steak, Banguntapan"
Burger,"Burger Bangor Express, Janti"
Steak,"Burger Bangor Express, Janti"
Pizza,"Burger Bangor Express, Janti"
Pasta,"Burger Bangor Express, Janti"
Fish and Chips,"Burger Bangor Express, Janti"
Caesar Salad,"Burger Bangor Express, Janti"
French Fries,"Burger Bangor Express, Janti"
Chicken Wings,"Burger Bangor Express, Janti"
Grilled Cheese Sandwich,"Burger Bangor Express, Janti"
Tacos,"Burger Bangor Express, Janti"
Lasagna,"Burger Bangor Express, Janti"
Ribs,"Burger Bangor Express, Janti"
Nachos,"Burger Bangor Express, Janti"
Mac and Cheese,"Burger Bangor Express, Janti"
Quesadilla,"Burger Bangor Express, Janti"
Hot Dog,"Burger Bangor Express, Janti"
Meatloaf,"Burger Bangor Express, Janti"
Buffalo Wings,"Burger Bangor Express, Janti"
Chicken Parmesan,"Burger Bangor Express, Janti"
Clam Chowder,"Burger Bangor Express, Janti"
Fast food,"Burger Bangor Express, Janti"
Chicken & duck,"Burger Bangor Express, Janti"
Burger,"Black Kebab, Wirobrajan"
Steak,"Black Kebab, Wirobrajan"
Pizza,"Black Kebab, Wirobrajan"
Pasta,"Black Kebab, Wirobrajan"
Fish and Chips,"Black Kebab, Wirobrajan"
Caesar Salad,"Black Kebab, Wirobrajan"
French Fries,"Black Kebab, Wirobrajan"
Chicken Wings,"Black Kebab, Wirobrajan"
Grilled Cheese Sandwich,"Black Kebab, Wirobrajan"
Tacos,"Black Kebab, Wirobrajan"
Lasagna,"Black Kebab, Wirobrajan"
Ribs,"Black Kebab, Wirobrajan"
Nachos,"Black Kebab, Wirobrajan"
Mac and Cheese,"Black Kebab, Wirobrajan"
Quesadilla,"Black Kebab, Wirobrajan"
Hot Dog,"Black Kebab, Wirobrajan"
Meatloaf,"Black Kebab, Wirobrajan"
Buffalo Wings,"Black Kebab, Wirobrajan"
Chicken Parmesan,"Black Kebab, Wirobrajan"
Clam Chowder,"Black Kebab, Wirobrajan"
 Hummus,"Black Kebab, Wirobrajan"
Falafel,"Black Kebab, Wirobrajan"
Shawarma,"Black Kebab, Wirobrajan"
Kebabs,"Black Kebab, Wirobrajan"
Tabouleh,"Black Kebab, Wirobrajan"
Baba Ganoush,"Black Kebab, Wirobrajan"
Fattoush,"Black Kebab, Wirobrajan"
Manakeesh,"Black Kebab, Wirobrajan"
Labneh,"Black Kebab, Wirobrajan"
Mutabbal,"Black Kebab, Wirobrajan"
Dolma,"Black Kebab, Wirobrajan"
Kofta,"Black Kebab, Wirobrajan"
Mujadara,"Black Kebab, Wirobrajan"
Shakshuka,"Black Kebab, Wirobrajan"
Knafeh,"Black Kebab, Wirobrajan"
Baklava,"Black Kebab, Wirobrajan"
Meze,"Black Kebab, Wirobrajan"
Sambousek,"Black Kebab, Wirobrajan"
Mahshi,"Black Kebab, Wirobrajan"
Qatayef,"Black Kebab, Wirobrajan"
Snacks,"Black Kebab, Wirobrajan"
Burger,"Oz Resto & Cafe, Permata Demangan"
Steak,"Oz Resto & Cafe, Permata Demangan"
Pizza,"Oz Resto & Cafe, Permata Demangan"
Pasta,"Oz Resto & Cafe, Permata Demangan"
Fish and Chips,"Oz Resto & Cafe, Permata Demangan"
Caesar Salad,"Oz Resto & Cafe, Permata Demangan"
French Fries,"Oz Resto & Cafe, Permata Demangan"
Chicken Wings,"Oz Resto & Cafe, Permata Demangan"
Grilled Cheese Sandwich,"Oz Resto & Cafe, Permata Demangan"
Tacos,"Oz Resto & Cafe, Permata Demangan"
Lasagna,"Oz Resto & Cafe, Permata Demangan"
Ribs,"Oz Resto & Cafe, Permata Demangan"
Nachos,"Oz Resto & Cafe, Permata Demangan"
Mac and Cheese,"Oz Resto & Cafe, Permata Demangan"
Quesadilla,"Oz Resto & Cafe, Permata Demangan"
Hot Dog,"Oz Resto & Cafe, Permata Demangan"
Meatloaf,"Oz Resto & Cafe, Permata Demangan"
Buffalo Wings,"Oz Resto & Cafe, Permata Demangan"
Chicken Parmesan,"Oz Resto & Cafe, Permata Demangan"
Clam Chowder,"Oz Resto & Cafe, Permata Demangan"
Pizza & pasta,"Oz Resto & Cafe, Permata Demangan"
Rice,"Oz Resto & Cafe, Permata Demangan"
Chicken & duck,"Oz Resto & Cafe, Permata Demangan"
Bakmie,"Twisted Noodle, Gondokusuman"
Dimsum,"Twisted Noodle, Gondokusuman"
Bebek Peking,"Twisted Noodle, Gondokusuman"
Cow Mein,"Twisted Noodle, Gondokusuman"
Wonton Soup,"Twisted Noodle, Gondokusuman"
nasi hainan,"Twisted Noodle, Gondokusuman"
Spring Rolls,"Twisted Noodle, Gondokusuman"
Lo Mein,"Twisted Noodle, Gondokusuman"
Congee,"Twisted Noodle, Gondokusuman"
Bakpao,"Twisted Noodle, Gondokusuman"
Lumpia,"Twisted Noodle, Gondokusuman"
Capcay,"Twisted Noodle, Gondokusuman"
Kwetiau,"Twisted Noodle, Gondokusuman"
Fuyunghai,"Twisted Noodle, Gondokusuman"
Sapo Tahu,"Twisted Noodle, Gondokusuman"
 Bakmi,"Twisted Noodle, Gondokusuman"
Ayam Kungpao,"Twisted Noodle, Gondokusuman"
Angsio Tahu,"Twisted Noodle, Gondokusuman"
Ayam Koloke,"Twisted Noodle, Gondokusuman"
Siomay,"Twisted Noodle, Gondokusuman"
I Fu Mie,"Twisted Noodle, Gondokusuman"
nasi goreng seafood chinese,"Twisted Noodle, Gondokusuman"
Bakmie,"Yamie Panda, Demangan"
Dimsum,"Yamie Panda, Demangan"
Bebek Peking,"Yamie Panda, Demangan"
Cow Mein,"Yamie Panda, Demangan"
Wonton Soup,"Yamie Panda, Demangan"
nasi hainan,"Yamie Panda, Demangan"
Spring Rolls,"Yamie Panda, Demangan"
Lo Mein,"Yamie Panda, Demangan"
Congee,"Yamie Panda, Demangan"
Bakpao,"Yamie Panda, Demangan"
Lumpia,"Yamie Panda, Demangan"
Capcay,"Yamie Panda, Demangan"
Kwetiau,"Yamie Panda, Demangan"
Fuyunghai,"Yamie Panda, Demangan"
Sapo Tahu,"Yamie Panda, Demangan"
 Bakmi,"Yamie Panda, Demangan"
Ayam Kungpao,"Yamie Panda, Demangan"
Angsio Tahu,"Yamie Panda, Demangan"
Ayam Koloke,"Yamie Panda, Demangan"
Siomay,"Yamie Panda, Demangan"
I Fu Mie,"Yamie Panda, Demangan"
nasi goreng seafood chinese,"Yamie Panda, Demangan"
Aneka nasi,"RM Makmur Chinese Food, Sosromenduran"
Bakmie,"RM Makmur Chinese Food, Sosromenduran"
Dimsum,"RM Makmur Chinese Food, Sosromenduran"
Bebek Peking,"RM Makmur Chinese Food, Sosromenduran"
Cow Mein,"RM Makmur Chinese Food, Sosromenduran"
Wonton Soup,"RM Makmur Chinese Food, Sosromenduran"
nasi hainan,"RM Makmur Chinese Food, Sosromenduran"
Spring Rolls,"RM Makmur Chinese Food, Sosromenduran"
Lo Mein,"RM Makmur Chinese Food, Sosromenduran"
Congee,"RM Makmur Chinese Food, Sosromenduran"
Bakpao,"RM Makmur Chinese Food, Sosromenduran"
Lumpia,"RM Makmur Chinese Food, Sosromenduran"
Capcay,"RM Makmur Chinese Food, Sosromenduran"
Kwetiau,"RM Makmur Chinese Food, Sosromenduran"
Fuyunghai,"RM Makmur Chinese Food, Sosromenduran"
Sapo Tahu,"RM Makmur Chinese Food, Sosromenduran"
 Bakmi,"RM Makmur Chinese Food, Sosromenduran"
Ayam Kungpao,"RM Makmur Chinese Food, Sosromenduran"
Angsio Tahu,"RM Makmur Chinese Food, Sosromenduran"
Ayam Koloke,"RM Makmur Chinese Food, Sosromenduran"
Siomay,"RM Makmur Chinese Food, Sosromenduran"
I Fu Mie,"RM Makmur Chinese Food, Sosromenduran"
nasi goreng seafood chinese,"RM Makmur Chinese Food, Sosromenduran"
Aneka nasi,"Brongkos Koyor dan Sop Buntut Mbak Ris, Balaikota"
Bakso,"Brongkos Koyor dan Sop Buntut Mbak Ris, Balaikota"
Soto,"Brongkos Koyor dan Sop Buntut Mbak Ris, Balaikota"
Seafood,"Brongkos Koyor dan Sop Buntut Mbak Ris, Balaikota"
Bakso,Mie Ayam Goreng & Gado-gado Om Brewok
Soto,Mie Ayam Goreng & Gado-gado Om Brewok
Bakmie,Mie Ayam Goreng & Gado-gado Om Brewok
Bakso,Mie Ayam Goreng & Gado-gado Om Brewok
Soto,Mie Ayam Goreng & Gado-gado Om Brewok
Ayam & bebek,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Dimsum,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Bebek Peking,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Cow Mein,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Wonton Soup,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
nasi hainan,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Spring Rolls,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Lo Mein,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Congee,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Bakpao,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Lumpia,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Capcay,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Kwetiau,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Fuyunghai,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Sapo Tahu,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
 Bakmi,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Ayam Kungpao,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Angsio Tahu,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Ayam Koloke,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Siomay,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
I Fu Mie,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
nasi goreng seafood chinese,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Aneka nasi,"Bebek Peking dan Ayam Panggang Pak Gembul, Jl KH Ahmad Dahlan No 40"
Bakso,"Soto Pak Zaenal, Dr. Supomo"
Soto,"Soto Pak Zaenal, Dr. Supomo"
Bakso,Bakso Lapangan Tembak Senayan - Cendana
Soto,Bakso Lapangan Tembak Senayan - Cendana
Aneka nasi,Bakso Lapangan Tembak Senayan - Cendana
Bakmie,Bakso Lapangan Tembak Senayan - Cendana
Bakso,"Soto Ayam Jadul Mak Yem, Sorogenen"
Soto,"Soto Ayam Jadul Mak Yem, Sorogenen"
Minuman,"Soto Ayam Jadul Mak Yem, Sorogenen"
Chicken & duck,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Sushi,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Sashimi,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Tempura,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Ramen,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Udon,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Soba,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Okonomiyaki,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Takoyaki,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Tonkatsu,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Yakitori,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Gyoza,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Onigiri,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Miso Soup,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Nabe,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Shabu-Shabu,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Sukiyaki,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Teriyaki,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Unagi,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Tamagoyaki,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Mochi,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Beverages,"Ayam Geprek & Rice Bowl Tobiko Mentai, Karangkajen"
Chicken & duck,"Funkydak, Komplek Colombo"
Burger,"Funkydak, Komplek Colombo"
Steak,"Funkydak, Komplek Colombo"
Pizza,"Funkydak, Komplek Colombo"
Pasta,"Funkydak, Komplek Colombo"
Fish and Chips,"Funkydak, Komplek Colombo"
Caesar Salad,"Funkydak, Komplek Colombo"
French Fries,"Funkydak, Komplek Colombo"
Chicken Wings,"Funkydak, Komplek Colombo"
Grilled Cheese Sandwich,"Funkydak, Komplek Colombo"
Tacos,"Funkydak, Komplek Colombo"
Lasagna,"Funkydak, Komplek Colombo"
Ribs,"Funkydak, Komplek Colombo"
Nachos,"Funkydak, Komplek Colombo"
Mac and Cheese,"Funkydak, Komplek Colombo"
Quesadilla,"Funkydak, Komplek Colombo"
Hot Dog,"Funkydak, Komplek Colombo"
Meatloaf,"Funkydak, Komplek Colombo"
Buffalo Wings,"Funkydak, Komplek Colombo"
Chicken Parmesan,"Funkydak, Komplek Colombo"
Clam Chowder,"Funkydak, Komplek Colombo"
Fast food,"Funkydak, Komplek Colombo"
Dimsum,RM. Gajah jaya
Bebek Peking,RM. Gajah jaya
Cow Mein,RM. Gajah jaya
Wonton Soup,RM. Gajah jaya
nasi hainan,RM. Gajah jaya
Spring Rolls,RM. Gajah jaya
Lo Mein,RM. Gajah jaya
Congee,RM. Gajah jaya
Bakpao,RM. Gajah jaya
Lumpia,RM. Gajah jaya
Capcay,RM. Gajah jaya
Kwetiau,RM. Gajah jaya
Fuyunghai,RM. Gajah jaya
Sapo Tahu,RM. Gajah jaya
 Bakmi,RM. Gajah jaya
Ayam Kungpao,RM. Gajah jaya
Angsio Tahu,RM. Gajah jaya
Ayam Koloke,RM. Gajah jaya
Siomay,RM. Gajah jaya
I Fu Mie,RM. Gajah jaya
nasi goreng seafood chinese,RM. Gajah jaya
Fast food,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Beverages,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Burger,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Steak,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Pizza,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Pasta,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Fish and Chips,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Caesar Salad,"Hore Steak Jogja, Jl. Cenderawasih 32b"
French Fries,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Chicken Wings,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Grilled Cheese Sandwich,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Tacos,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Lasagna,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Ribs,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Nachos,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Mac and Cheese,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Quesadilla,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Hot Dog,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Meatloaf,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Buffalo Wings,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Chicken Parmesan,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Clam Chowder,"Hore Steak Jogja, Jl. Cenderawasih 32b"
Sushi,"Ichiban Sushi, Hartono Mall"
Sashimi,"Ichiban Sushi, Hartono Mall"
Tempura,"Ichiban Sushi, Hartono Mall"
Ramen,"Ichiban Sushi, Hartono Mall"
Udon,"Ichiban Sushi, Hartono Mall"
Soba,"Ichiban Sushi, Hartono Mall"
Okonomiyaki,"Ichiban Sushi, Hartono Mall"
Takoyaki,"Ichiban Sushi, Hartono Mall"
Tonkatsu,"Ichiban Sushi, Hartono Mall"
Yakitori,"Ichiban Sushi, Hartono Mall"
Gyoza,"Ichiban Sushi, Hartono Mall"
Onigiri,"Ichiban Sushi, Hartono Mall"
Miso Soup,"Ichiban Sushi, Hartono Mall"
Nabe,"Ichiban Sushi, Hartono Mall"
Shabu-Shabu,"Ichiban Sushi, Hartono Mall"
Sukiyaki,"Ichiban Sushi, Hartono Mall"
Teriyaki,"Ichiban Sushi, Hartono Mall"
Unagi,"Ichiban Sushi, Hartono Mall"
Tamagoyaki,"Ichiban Sushi, Hartono Mall"
Mochi.,"Ichiban Sushi, Hartono Mall"
Sushi,"BOX MIE, Monjali"
Sashimi,"BOX MIE, Monjali"
Tempura,"BOX MIE, Monjali"
Ramen,"BOX MIE, Monjali"
Udon,"BOX MIE, Monjali"
Soba,"BOX MIE, Monjali"
Okonomiyaki,"BOX MIE, Monjali"
Takoyaki,"BOX MIE, Monjali"
Tonkatsu,"BOX MIE, Monjali"
Yakitori,"BOX MIE, Monjali"
Gyoza,"BOX MIE, Monjali"
Onigiri,"BOX MIE, Monjali"
Miso Soup,"BOX MIE, Monjali"
Nabe,"BOX MIE, Monjali"
Shabu-Shabu,"BOX MIE, Monjali"
Sukiyaki,"BOX MIE, Monjali"
Teriyaki,"BOX MIE, Monjali"
Unagi,"BOX MIE, Monjali"
Tamagoyaki,"BOX MIE, Monjali"
Mochi.,"BOX MIE, Monjali"
Noodles,"BOX MIE, Monjali"
Korean,"BOX MIE, Monjali"
Rice,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Sushi,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Sashimi,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Tempura,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Ramen,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Udon,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Soba,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Okonomiyaki,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Takoyaki,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Tonkatsu,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Yakitori,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Gyoza,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Onigiri,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Miso Soup,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Nabe,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
Shabu-Shabu,"Warung Makan Tokyo, Titik Maps Sabi Jogja"
